"2019-02";"2.9863";"2.4275";"3.1667";"4.1765";"0.1846";"0.6362";"0.2379";"4.7478";"5.4389";"0.014931";"0.037893";"0.2443";"0.4872";"1.0998";"0.0635";"0.4524";"-";"0.7923";"4.1823";"0.303";"1.1249";"0.6207";"0.0587";"0.003725";"0.218";"2.8587";"0.0402";"0.1541";"1.1386";"0.6403";"0.1336";"-";"-";"-";"-";"-";"-";"-";"177.4763";"5.8221";"2.9658";"2.4244";"3.1561";"4.18";"0.185";"0.6355";"0.2374";"4.7416";"5.5302";"0.014989";"0.037542";"0.2425";"0.4872";"1.1008";"0.0632";"0.4525";"-";"0.7798";"4.1584";"0.2972";"1.1153";"0.622";"0.0585";"0.003702";"0.2166";"2.8414";"0.0401";"0.1538";"1.1321";"0.6382";"0.132";"-";"-";"-";"-";"-";"-";"-";"177.1056";"5.8108"
"2019-01";"2.9466";"2.405";"3.0987";"4.1631";"0.1835";"0.63";"0.2305";"4.7037";"5.3076";"0.014706";"0.037829";"0.2405";"0.4819";"1.0958";"0.0617";"0.458";"-";"0.7652";"4.1179";"0.2977";"1.1018";"0.607";"0.0582";"0.003669";"0.2147";"2.7913";"0.0397";"0.1476";"1.1211";"0.6332";"0.1295";"-";"-";"-";"-";"-";"-";"-";"171.1269";"5.7417";"2.9991";"2.4209";"3.1401";"4.1557";"0.1838";"0.6342";"0.2335";"4.7348";"5.4214";"0.014981";"0.037992";"0.2422";"0.4901";"1.1067";"0.0632";"0.4568";"-";"0.7938";"4.1265";"0.3094";"1.1194";"0.615";"0.058";"0.003707";"0.2158";"2.8481";"0.04";"0.1487";"1.1234";"0.6379";"0.132";"-";"-";"-";"-";"-";"-";"-";"175.458";"5.7787"
"2018-12";"2.9367";"2.3791";"3.046";"4.1192";"0.1801";"0.6233";"0.2279";"4.653";"5.1804";"0.014417";"0.036383";"0.2374";"0.4748";"1.0846";"0.0607";"0.4527";"-";"0.7671";"4.0868";"0.2874";"1.0517";"0.5934";"0.0577";"0.00364";"0.203";"2.7904";"0.0393";"0.1473";"1.1126";"0.6286";"0.1249";"-";"-";"-";"-";"-";"-";"-";"164.2462";"5.662";"2.8746";"2.3847";"2.9925";"4.1404";"0.1814";"0.6246";"0.2272";"4.6639";"5.1931";"0.014527";"0.037008";"0.2389";"0.4689";"1.086";"0.0585";"0.4556";"-";"0.77";"4.0736";"0.2832";"1.0496";"0.5922";"0.0583";"0.003655";"0.2073";"2.734";"0.0394";"0.1472";"1.109";"0.6292";"0.126";"-";"-";"-";"-";"-";"-";"-";"168.0053";"5.6658"
"2018-11";"2.9714";"2.3831";"3.1105";"4.0974";"0.1797";"0.6247";"0.2288";"4.661";"5.293";"0.01446";"0.036207";"0.2397";"0.4842";"1.0832";"0.0618";"0.4528";"-";"0.7632";"4.1028";"0.2905";"1.0864";"0.5912";"0.0571";"0.003638";"0.2027";"2.7767";"0.0394";"0.1468";"1.117";"0.6274";"0.1244";"-";"-";"-";"-";"-";"-";"-";"161.0615";"5.6797";"2.9982";"2.3806";"3.0858";"4.1169";"0.1793";"0.6239";"0.2285";"4.656";"5.2359";"0.014386";"0.03618";"0.2394";"0.478";"1.0844";"0.0615";"0.4519";"-";"0.7938";"4.1008";"0.2993";"1.0648";"0.5904";"0.0587";"0.003659";"0.2027";"2.8134";"0.0393";"0.1443";"1.1164";"0.6278";"0.1244";"-";"-";"-";"-";"-";"-";"-";"161.6072";"5.6705"
"2018-10";"2.886";"2.3852";"3.1227";"4.0878";"0.1807";"0.6254";"0.2266";"4.6651";"5.2845";"0.014403";"0.035995";"0.2387";"0.4921";"1.0838";"0.0617";"0.4495";"-";"0.6966";"4.0609";"0.2801";"1.0757";"0.5867";"0.0552";"0.003586";"0.2122";"2.6525";"0.0394";"0.1445";"1.1056";"0.6283";"0.1238";"-";"-";"-";"-";"-";"-";"-";"158.6069";"5.649";"2.9187";"2.3861";"3.1334";"4.091";"0.1802";"0.6254";"0.2295";"4.6668";"5.2424";"0.014366";"0.036356";"0.24";"0.4882";"1.0772";"0.0626";"0.4484";"-";"0.7481";"4.1141";"0.28";"1.113";"0.59";"0.0556";"0.003608";"0.2047";"2.6914";"0.0394";"0.1465";"1.1201";"0.6277";"0.1241";"-";"-";"-";"-";"-";"-";"-";"161.0916";"5.6847"
"2018-09";"2.8694";"2.3758";"3.0554";"4.1167";"0.1814";"0.623";"0.2224";"4.6466";"5.2007";"0.014302";"0.035593";"0.2376";"0.4828";"1.0803";"0.0589";"0.445";"-";"0.6287";"3.9848";"0.2696";"0.9699";"0.5812";"0.0552";"0.003557";"0.2093";"2.6286";"0.0393";"0.1414";"1.0848";"0.6254";"0.1222";"-";"-";"-";"-";"-";"-";"-";"153.6014";"5.5799";"2.9011";"2.3845";"3.0891";"4.1248";"0.1815";"0.6255";"0.2244";"4.6637";"5.2481";"0.01439";"0.035444";"0.236";"0.4925";"1.0914";"0.0611";"0.453";"-";"0.6708";"4.021";"0.283";"1.002";"0.5842";"0.0554";"0.003622";"0.2138";"2.6565";"0.0394";"0.1422";"1.0947";"0.6273";"0.1243";"-";"-";"-";"-";"-";"-";"-";"153.0557";"5.6128"
"2018-08";"2.9458";"2.3743";"3.0823";"4.0669";"0.1808";"0.6228";"0.2247";"4.6437";"5.1772";"0.014377";"0.036196";"0.2422";"0.4826";"1.0836";"0.0606";"0.4437";"-";"0.6858";"4.0189";"0.2859";"1.0268";"0.5869";"0.0577";"0.003584";"0.2133";"2.6816";"0.0393";"0.1459";"1.0941";"0.6253";"0.1217";"-";"-";"-";"-";"-";"-";"-";"155.3734";"5.6097";"2.8799";"2.3745";"3.058";"4.1143";"0.1804";"0.6229";"0.2232";"4.644";"5.1764";"0.014236";"0.035907";"0.2398";"0.4776";"1.0812";"0.0585";"0.4369";"-";"0.6065";"3.9789";"0.2709";"0.9587";"0.5822";"0.0561";"0.003567";"0.2082";"2.6432";"0.0393";"0.1408";"1.0832";"0.6242";"0.1216";"-";"-";"-";"-";"-";"-";"-";"154.4121";"5.5781"
"2018-07";"2.9458";"2.3776";"3.0286";"4.0022";"0.1798";"0.624";"0.2225";"4.6502";"5.2424";"0.01432";"0.035711";"0.2385";"0.4896";"1.0745";"0.0634";"0.4512";"-";"0.8354";"3.981";"0.2965";"1.0398";"0.5927";"0.0579";"0.003542";"0.2089";"2.7018";"0.0394";"0.1507";"1.0838";"0.6286";"0.1196";"-";"-";"-";"-";"-";"-";"-";"158.4669";"5.5959";"2.9294";"2.3664";"3.027";"3.9942";"0.1808";"0.6213";"0.221";"4.6283";"5.1922";"0.014422";"0.035398";"0.239";"0.4855";"1.0817";"0.0633";"0.4509";"-";"0.8055";"3.9487";"0.3002";"1.0588";"0.5778";"0.0575";"0.003524";"0.2129";"2.6916";"0.0392";"0.1468";"1.075";"0.6254";"0.1187";"-";"-";"-";"-";"-";"-";"-";"154.7323";"5.5455"
"2018-06";"2.9913";"2.3832";"3.0395";"4.0319";"0.1808";"0.6257";"0.2232";"4.6611";"5.3041";"0.014442";"0.036265";"0.2367";"0.492";"1.083";"0.0635";"0.4534";"-";"0.8585";"3.9911";"0.2994";"1.0564";"0.617";"0.0588";"0.003645";"0.1961";"2.7706";"0.0395";"0.1521";"1.0866";"0.6314";"0.1228";"-";"-";"-";"-";"-";"-";"-";"164.4042";"5.6425";"2.9573";"2.3832";"3.0265";"4.034";"0.1795";"0.6255";"0.2238";"4.6611";"5.2626";"0.014168";"0.03618";"0.2387";"0.4909";"1.0679";"0.0639";"0.4469";"-";"0.8762";"4.0033";"0.2913";"1.0364";"0.6048";"0.0585";"0.003595";"0.2032";"2.7072";"0.0395";"0.1525";"1.0899";"0.6311";"0.1209";"-";"-";"-";"-";"-";"-";"-";"161.0312";"5.6327"
"2018-05";"2.9526";"2.3717";"3.0517";"3.9339";"0.181";"0.6228";"0.2203";"4.6387";"5.2858";"0.014651";"0.035768";"0.235";"0.4846";"1.0833";"0.0629";"0.4481";"-";"0.8863";"3.9239";"0.3128";"1.0824";"0.6157";"0.0581";"0.003641";"0.2008";"2.7268";"0.0393";"0.1499";"1.0683";"0.6276";"0.1227";"-";"-";"-";"-";"-";"-";"-";"164.5045";"5.5859";"3.0116";"2.3768";"3.0921";"4.0343";"0.18";"0.6244";"0.222";"4.6485";"5.295";"0.014576";"0.036503";"0.2358";"0.4871";"1.0783";"0.064";"0.453";"-";"0.884";"3.9734";"0.3169";"1.0671";"0.6202";"0.0589";"0.003685";"0.2004";"2.7786";"0.0394";"0.1521";"1.0817";"0.6292";"0.1242";"-";"-";"-";"-";"-";"-";"-";"166.698";"5.6327"
"2018-04";"2.914";"2.3808";"2.9774";"3.9163";"0.1836";"0.6252";"0.2145";"4.6565";"5.3373";"0.014939";"0.035231";"0.2304";"0.4836";"1.11";"0.0621";"0.4487";"-";"0.9326";"3.7912";"0.3134";"1.1139";"0.6019";"0.0577";"0.003546";"0.2063";"2.746";"0.0394";"0.1451";"1.0322";"0.6274";"0.1211";"-";"-";"-";"-";"-";"-";"-";"162.7293";"5.4996";"2.9067";"2.382";"2.9937";"3.8917";"0.1826";"0.6254";"0.2181";"4.6589";"5.2837";"0.01486";"0.035217";"0.2314";"0.4817";"1.1028";"0.0614";"0.4436";"-";"0.9513";"3.8479";"0.3098";"1.113";"0.6076";"0.0579";"0.003598";"0.2061";"2.7159";"0.0395";"0.1472";"1.0476";"0.6284";"0.1219";"-";"-";"-";"-";"-";"-";"-";"162.9167";"5.5345"
"2018-03";"2.9322";"2.3829";"2.9237";"3.9894";"0.1833";"0.6256";"0.2144";"4.6605";"5.2794";"0.014925";"0.035633";"0.2278";"0.4861";"1.1071";"0.0661";"0.4584";"-";"0.9703";"3.7784";"0.3189";"1.1533";"0.5979";"0.0581";"0.003526";"0.203";"2.7418";"0.0394";"0.1434";"1.0287";"0.6265";"0.1208";"-";"-";"-";"-";"-";"-";"-";"161.0413";"5.4894";"2.9073";"2.3814";"2.9349";"3.9632";"0.1835";"0.6248";"0.2143";"4.6576";"5.309";"0.01491";"0.035583";"0.2295";"0.4826";"1.1066";"0.0658";"0.4533";"-";"0.9539";"3.7779";"0.3194";"1.1431";"0.602";"0.058";"0.003557";"0.2081";"2.7353";"0.0394";"0.1436";"1.0285";"0.6264";"0.1213";"-";"-";"-";"-";"-";"-";"-";"160.938";"5.4941"
"2018-02";"2.9681";"2.3803";"2.9996";"4.0321";"0.1839";"0.6253";"0.2133";"4.6555";"5.2694";"0.014937";"0.034912";"0.2258";"0.481";"1.1178";"0.0663";"0.4685";"-";"0.9953";"3.7675";"0.3188";"1.1609";"0.5959";"0.0585";"0.003495";"0.2022";"2.7559";"0.0394";"0.139";"1.0257";"0.6257";"0.1197";"-";"-";"-";"-";"-";"-";"-";"161.5379";"5.4696";"2.9765";"2.3839";"2.9873";"4.0471";"0.1834";"0.6261";"0.2165";"4.6625";"5.2947";"0.014833";"0.035619";"0.2268";"0.4842";"1.1158";"0.0678";"0.4622";"-";"1.0026";"3.8133";"0.3257";"1.1727";"0.6027";"0.0585";"0.003528";"0.203";"2.7515";"0.0395";"0.141";"1.0382";"0.626";"0.1214";"-";"-";"-";"-";"-";"-";"-";"161.8538";"5.5165"
"2018-01";"3.0327";"2.3775";"3.0676";"3.9672";"0.1827";"0.6245";"0.2153";"4.65";"5.2636";"0.015037";"0.034383";"0.2251";"0.4822";"1.1165";"0.0673";"0.4736";"-";"1.0094";"3.8121";"0.3124";"1.1883";"0.5934";"0.0599";"0.003574";"0.2016";"2.7689";"0.0392";"0.1342";"1.0379";"0.6254";"0.1196";"-";"-";"-";"-";"-";"-";"-";"163.3147";"5.4841";"3.0316";"2.3817";"3.0491";"4.0166";"0.1841";"0.6259";"0.2119";"4.6582";"5.2952";"0.014999";"0.034411";"0.2241";"0.4862";"1.1224";"0.0666";"0.4769";"-";"0.996";"3.7442";"0.316";"1.176";"0.5959";"0.0589";"0.003512";"0.2008";"2.7707";"0.0392";"0.1345";"1.0194";"0.6267";"0.1195";"-";"-";"-";"-";"-";"-";"-";"161.6102";"5.4533"
"2017-12";"2.9958";"2.3704";"3.07";"3.9669";"0.1807";"0.6228";"0.2199";"4.6359";"5.2513";"0.0148";"0.034696";"0.2281";"0.4712";"1.103";"0.0668";"0.4666";"-";"1.0195";"3.9186";"0.2984";"1.1905";"0.5942";"0.061";"0.003613";"0.2048";"2.7306";"0.0389";"0.1423";"1.0669";"0.6148";"0.1201";"-";"-";"-";"-";"-";"-";"-";"159.3377";"5.5441";"3.0429";"2.3825";"3.1051";"3.99";"0.1823";"0.6259";"0.2189";"4.6597";"5.253";"0.015011";"0.034574";"0.2283";"0.4747";"1.1168";"0.0674";"0.4738";"-";"1.0308";"3.8915";"0.3161";"1.1748";"0.598";"0.061";"0.00365";"0.1975";"2.771";"0.0394";"0.1387";"1.0594";"0.6252";"0.1195";"-";"-";"-";"-";"-";"-";"-";"162.3147";"5.5402"
"2017-11";"3.0104";"2.368";"3.0938";"3.9789";"0.1813";"0.6223";"0.2234";"4.6314";"5.2145";"0.014852";"0.034979";"0.2259";"0.4827";"1.0952";"0.0669";"0.4706";"-";"1.0152";"3.9473";"0.2799";"1.2103";"0.596";"0.0608";"0.003584";"0.2083";"2.7194";"0.039";"0.1478";"1.0747";"0.6134";"0.1199";"-";"-";"-";"-";"-";"-";"-";"162.85";"5.5612";"2.9705";"2.3736";"3.0518";"3.9808";"0.1822";"0.6238";"0.221";"4.6422";"5.2528";"0.014912";"0.035138";"0.2268";"0.4755";"1.1057";"0.0672";"0.4684";"-";"0.9902";"3.9188";"0.2861";"1.2196";"0.5937";"0.0609";"0.003643";"0.2111";"2.709";"0.0388";"0.1449";"1.0669";"0.6152";"0.1205";"-";"-";"-";"-";"-";"-";"-";"163.0953";"5.5516"
"2017-10";"3.0391";"2.3461";"3.1014";"3.9756";"0.1781";"0.6165";"0.2212";"4.5885";"5.1521";"0.014801";"0.03456";"0.2237";"0.4882";"1.0758";"0.0676";"0.4774";"-";"1.0615";"3.9035";"0.2849";"1.2244";"0.589";"0.06";"0.003447";"0.2077";"2.7492";"0.0385";"0.1462";"1.0628";"0.6111";"0.1175";"-";"-";"-";"-";"-";"-";"-";"160.7227";"5.5017";"3.0296";"2.3512";"3.0774";"3.9589";"0.1792";"0.618";"0.2241";"4.5985";"5.225";"0.014761";"0.034879";"0.2282";"0.4835";"1.0825";"0.0677";"0.4721";"-";"1.0433";"3.9533";"0.2799";"1.2027";"0.5961";"0.0611";"0.003534";"0.2053";"2.7056";"0.0386";"0.1472";"1.0763";"0.6113";"0.119";"-";"-";"-";"-";"-";"-";"-";"161.8446";"5.5518"
"2017-09";"3.0759";"2.3509";"3.1391";"4.0078";"0.1763";"0.618";"0.2184";"4.5978";"5.1303";"0.01491";"0.034852";"0.2179";"0.4925";"1.0764";"0.0669";"0.4822";"-";"1.1098";"3.8576";"0.2932";"1.2313";"0.5873";"0.0599";"0.003407";"0.2162";"2.7979";"0.0385";"0.1475";"1.0502";"0.6162";"0.1164";"-";"-";"-";"-";"-";"-";"-";"163.331";"5.4783";"3.0536";"2.3515";"3.1358";"4.013";"0.1767";"0.618";"0.221";"4.5991";"5.2111";"0.014786";"0.034646";"0.2217";"0.4894";"1.0669";"0.0675";"0.4775";"-";"1.0964";"3.8977";"0.2886";"1.2248";"0.5857";"0.0597";"0.00341";"0.2143";"2.8138";"0.0386";"0.1466";"1.0612";"0.6136";"0.1169";"-";"-";"-";"-";"-";"-";"-";"161.4014";"5.505"
"2017-08";"3.0689";"2.3409";"3.0755";"4.0171";"0.1753";"0.6156";"0.2184";"4.5784";"5.0282";"0.015045";"0.03529";"0.2165";"0.4913";"1.0731";"0.0651";"0.4793";"-";"1.104";"3.8764";"0.2926";"1.2306";"0.5811";"0.0606";"0.003426";"0.2175";"2.8313";"0.0383";"0.151";"1.0554";"0.6182";"0.1166";"-";"-";"-";"-";"-";"-";"-";"159.8674";"5.472";"3.0473";"2.3472";"3.0579";"4.0038";"0.1758";"0.6172";"0.2191";"4.5906";"4.9773";"0.01499";"0.034939";"0.2137";"0.4933";"1.0775";"0.0661";"0.4841";"-";"1.1157";"3.8654";"0.2965";"1.2231";"0.586";"0.0604";"0.003434";"0.2174";"2.7618";"0.0386";"0.1502";"1.0524";"0.619";"0.1164";"-";"-";"-";"-";"-";"-";"-";"162.2529";"5.4667"
"2017-07";"3.0931";"2.3357";"3.1201";"4.1314";"0.1751";"0.6143";"0.2217";"4.5681";"5.1555";"0.014889";"0.035288";"0.2192";"0.4857";"1.0781";"0.0665";"0.4763";"-";"1.1136";"3.9704";"0.3019";"1.2374";"0.5861";"0.0616";"0.003502";"0.2225";"2.9179";"0.0379";"0.1529";"1.081";"0.6164";"0.1176";"-";"-";"-";"-";"-";"-";"-";"157.6668";"5.5387";"3.0993";"2.3314";"3.1176";"4.0065";"0.1749";"0.6132";"0.2175";"4.5598";"5.0962";"0.014959";"0.035158";"0.2152";"0.4896";"1.0717";"0.0648";"0.478";"-";"1.1043";"3.8873";"0.2971";"1.2409";"0.5778";"0.0606";"0.003468";"0.2186";"2.9104";"0.0379";"0.1507";"1.0583";"0.6151";"0.1168";"-";"-";"-";"-";"-";"-";"-";"158.3862";"5.472"
"2017-06";"3.0828";"2.3373";"3.0641";"4.2036";"0.1741";"0.6147";"0.2248";"4.5714";"5.2055";"0.014828";"0.036715";"0.2234";"0.4813";"1.0852";"0.0701";"0.4688";"-";"1.1564";"4.0714";"0.3154";"1.2348";"0.598";"0.0632";"0.003594";"0.2247";"2.9475";"0.0375";"0.1562";"1.1085";"0.6169";"0.1198";"-";"-";"-";"-";"-";"-";"-";"164.9773";"5.6322";"3.0665";"2.3284";"3.0723";"4.1655";"0.1737";"0.6124";"0.2203";"4.5539";"5.1852";"0.014734";"0.035664";"0.2199";"0.4757";"1.0777";"0.0672";"0.4714";"-";"1.1326";"3.9915";"0.3053";"1.208";"0.5888";"0.0617";"0.003489";"0.2211";"2.9255";"0.0378";"0.1532";"1.0867";"0.6146";"0.1175";"-";"-";"-";"-";"-";"-";"-";"159.608";"5.5552"
"2017-05";"3.0627";"2.3284";"3.0302";"4.1783";"0.1712";"0.6121";"0.2277";"4.554";"5.327";"0.014697";"0.036723";"0.2211";"0.4844";"1.0835";"0.0722";"0.4691";"-";"1.1541";"4.1213";"0.3104";"1.2868";"0.5985";"0.064";"0.00366";"0.2194";"2.8637";"0.037";"0.1559";"1.1221";"0.6127";"-";"-";"-";"-";"-";"-";"-";"-";"165.1819";"5.6655";"3.0441";"2.3367";"3.0368";"4.1977";"0.1728";"0.6143";"0.2252";"4.5702";"5.2312";"0.014855";"0.03687";"0.2248";"0.4836";"1.0956";"0.072";"0.4679";"-";"1.1546";"4.0844";"0.3116";"1.2537";"0.5991";"0.0633";"0.003651";"0.2189";"2.9027";"0.0373";"0.1553";"1.112";"0.6163";"-";"-";"-";"-";"-";"-";"-";"-";"166.0979";"5.6445"
"2017-04";"3.1831";"2.3161";"3.1477";"4.2233";"0.1688";"0.6091";"0.2333";"4.5299";"5.3375";"0.014537";"0.038352";"0.2188";"0.4927";"1.0682";"0.0748";"0.4722";"-";"1.1567";"4.2259";"0.3138";"1.348";"0.6132";"0.0655";"0.003726";"0.2253";"2.9451";"0.0367";"0.157";"1.1505";"0.6081";"-";"-";"-";"-";"-";"-";"-";"-";"172.3542";"5.7525";"3.0998";"2.3178";"3.0381";"4.1837";"0.1682";"0.6094";"0.2297";"4.5333";"5.3604";"0.014522";"0.037195";"0.216";"0.486";"1.0739";"0.0727";"0.4703";"-";"1.166";"4.1453";"0.3117";"1.3026";"0.6012";"0.0645";"0.00364";"0.2177";"2.8448";"0.0368";"0.156";"1.1286";"0.6067";"-";"-";"-";"-";"-";"-";"-";"-";"168.8079";"5.6828"
"2017-03";"3.2433";"2.3255";"3.1794";"4.2478";"0.1683";"0.6117";"0.2407";"4.5482";"5.2504";"0.014684";"0.037672";"0.2157";"0.5005";"1.0604";"0.0735";"0.4774";"-";"1.16";"4.2563";"0.3294";"1.3619";"0.6171";"0.0647";"0.003753";"0.2203";"2.9815";"0.0367";"0.1575";"1.1588";"0.6127";"-";"-";"-";"-";"-";"-";"-";"-";"168.4562";"5.7656";"3.2586";"2.3269";"3.1914";"4.2563";"0.1682";"0.6119";"0.2336";"4.5511";"5.3015";"0.014762";"0.038048";"0.2176";"0.4961";"1.0782";"0.0758";"0.4772";"-";"1.1721";"4.2615";"0.3187";"1.3533";"0.6183";"0.0657";"0.003808";"0.2282";"2.9766";"0.0367";"0.1574";"1.1602";"0.6117";"-";"-";"-";"-";"-";"-";"-";"-";"170.1555";"5.7799"
"2017-02";"3.25";"2.307";"3.2369";"4.2335";"0.167";"0.6069";"0.2499";"4.512";"5.295";"0.014626";"0.037537";"0.212";"0.5091";"1.047";"0.0726";"0.4762";"-";"1.157";"4.2411";"0.3213";"1.366";"0.617";"0.0633";"0.003711";"0.2087";"3.0626";"0.0364";"0.1565";"1.1547";"0.6058";"-";"-";"-";"-";"-";"-";"-";"-";"168.2271";"5.7449";"3.269";"2.309";"3.2332";"4.2416";"0.1671";"0.6076";"0.2684";"4.516";"5.2992";"0.014674";"0.037938";"0.2134";"0.5094";"1.046";"0.0735";"0.4723";"-";"1.1808";"4.261";"0.328";"1.3705";"0.6203";"0.0638";"0.003779";"0.2134";"3.0649";"0.0364";"0.1581";"1.1601";"0.6072";"-";"-";"-";"-";"-";"-";"-";"-";"171.5721";"5.7665"
"2017-01";"3.1601";"2.3017";"3.2116";"4.2021";"0.1666";"0.6054";"0.2275";"4.5016";"5.224";"0.014571";"0.036842";"0.2107";"0.5002";"1.031";"0.0709";"0.4735";"-";"1.1276";"4.2401";"0.3126";"1.3246";"0.6149";"0.0623";"0.003587";"0.1982";"3.0174";"0.0364";"0.1558";"1.1544";"0.5978";"-";"-";"-";"-";"-";"-";"-";"-";"162.4465";"5.7238";"3.1776";"2.3027";"3.2089";"4.2267";"0.1667";"0.6055";"0.2247";"4.5038";"5.2324";"0.014468";"0.036985";"0.2108";"0.5063";"1.0399";"0.07";"0.4769";"-";"1.1087";"4.2072";"0.3106";"1.3454";"0.6114";"0.062";"0.003613";"0.2021";"3.0631";"0.0363";"0.1546";"1.1455";"0.6021";"-";"-";"-";"-";"-";"-";"-";"-";"162.1403";"5.7042"
"2016-12";"3.1448";"2.3097";"3.2099";"4.1998";"0.1671";"0.6075";"0.2305";"4.5173";"5.3454";"0.014467";"0.036867";"0.2126";"0.5004";"1.0181";"0.0692";"0.4652";"-";"1.2236";"4.282";"0.309";"1.2743";"0.6184";"0.0631";"0.003614";"0.2086";"3.014";"0.0366";"0.1629";"1.1658";"0.5992";"-";"-";"-";"-";"-";"-";"-";"-";"158.451";"5.7685";"3.1094";"2.3218";"3.1921";"4.2245";"0.168";"0.6108";"0.2326";"4.5411";"5.2961";"0.014627";"0.036834";"0.2174";"0.5001";"1.0264";"0.0699";"0.474";"-";"1.2217";"4.3033";"0.3144";"1.3222";"0.6197";"0.0634";"0.003581";"0.2076";"2.9938";"0.0368";"0.1588";"1.1716";"0.6007";"-";"-";"-";"-";"-";"-";"-";"-";"160.4449";"5.7868"
"2016-11";"3.1454";"2.306";"3.1014";"4.1925";"0.1668";"0.6061";"0.2729";"4.5102";"5.1826";"0.014613";"0.038645";"0.2076";"0.4965";"1.0283";"0.0648";"0.4578";"-";"1.2722";"4.171";"0.2996";"1.2494";"0.6097";"0.0617";"0.003585";"0.208";"2.9831";"0.0366";"0.162";"1.1356";"0.5997";"-";"-";"-";"-";"-";"-";"-";"-";"166.5772";"5.6995";"3.1808";"2.3091";"3.1683";"4.199";"0.167";"0.607";"0.2377";"4.5162";"5.311";"0.014515";"0.037864";"0.21";"0.4977";"1.0205";"0.0655";"0.4624";"-";"1.2458";"4.2616";"0.3057";"1.2529";"0.6178";"0.0621";"0.003636";"0.2062";"3.0232";"0.0367";"0.1665";"1.1603";"0.599";"-";"-";"-";"-";"-";"-";"-";"-";"162.7588";"5.7646"
"2016-10";"3.1055";"2.2979";"3.0792";"4.1294";"0.1663";"0.604";"0.459";"4.4942";"5.0298";"0.014642";"0.039266";"0.2047";"0.4992";"1.0432";"0.0651";"0.4633";"-";"1.3249";"4.0756";"0.2923";"1.2781";"0.6056";"0.0611";"0.003617";"0.2156";"2.9174";"0.0365";"0.1581";"1.1096";"0.5987";"-";"-";"-";"-";"-";"-";"-";"-";"166.2981";"5.6278";"3.128";"2.3037";"3.0718";"4.1598";"0.1667";"0.6056";"0.4632";"4.5057";"5.0069";"0.014602";"0.03919";"0.2059";"0.498";"1.0422";"0.0651";"0.4566";"-";"1.3253";"4.1131";"0.302";"1.2831";"0.6073";"0.0616";"0.003592";"0.2172";"2.9437";"0.0366";"0.1609";"1.1198";"0.6001";"-";"-";"-";"-";"-";"-";"-";"-";"168.5008";"5.653"
"2016-09";"3.0138";"2.2755";"3.0333";"4.0754";"0.1647";"0.5976";"0.4475";"4.4506";"5.2208";"0.014417";"0.038976";"0.2006";"0.4838";"1.0298";"0.0616";"0.4653";"-";"1.3376";"3.97";"0.2828";"1.2218";"0.5949";"0.0595";"0.003578";"0.2071";"2.9036";"0.0361";"0.1507";"1.0808";"0.5935";"-";"-";"-";"-";"-";"-";"-";"-";"169.3589";"5.5539";"3.0334";"2.2764";"3.025";"4.1041";"0.1648";"0.5975";"0.4484";"4.4523";"5.1627";"0.014386";"0.039373";"0.2009";"0.4949";"1.0325";"0.0629";"0.4627";"-";"1.3255";"3.9822";"0.2857";"1.2216";"0.5971";"0.0598";"0.003615";"0.2035";"2.8906";"0.0361";"0.1536";"1.0841";"0.5927";"-";"-";"-";"-";"-";"-";"-";"-";"169.8734";"5.5611"
"2016-08";"3.0349";"2.28";"3.0618";"4.0998";"0.165";"0.5993";"0.4489";"4.4594";"5.2208";"0.014366";"0.039281";"0.201";"0.4787";"1.0364";"0.0612";"0.4699";"-";"1.3425";"3.9775";"0.2892";"1.2395";"0.5982";"0.0594";"0.003579";"0.215";"2.8786";"0.0362";"0.1585";"1.0829";"0.5957";"-";"-";"-";"-";"-";"-";"-";"-";"171.4264";"5.5662";"3.0044";"2.277";"3.0507";"4.0614";"0.1648";"0.5983";"0.455";"4.4535";"5.2459";"0.014365";"0.038733";"0.1995";"0.4799";"1.0225";"0.0613";"0.468";"-";"1.3508";"3.9945";"0.2764";"1.234";"0.5981";"0.0596";"0.003582";"0.2127";"2.8971";"0.0362";"0.1545";"1.0875";"0.5954";"-";"-";"-";"-";"-";"-";"-";"-";"168.7702";"5.571"
"2016-07";"3.0533";"2.2936";"3.1097";"4.1282";"0.1659";"0.603";"0.4569";"4.4858";"5.331";"0.014265";"0.038956";"0.2045";"0.4787";"1.0201";"0.063";"0.4736";"-";"1.3689";"4.0529";"0.281";"1.2366";"0.6069";"0.0603";"0.003548";"0.2182";"2.8926";"0.0364";"0.1631";"1.1034";"0.5988";"-";"-";"-";"-";"-";"-";"-";"-";"174.3899";"5.6355";"3.0187";"2.2831";"3.0534";"4.1184";"0.1651";"0.6003";"0.4527";"4.4654";"5.2967";"0.014285";"0.038831";"0.2037";"0.47";"1.0225";"0.0601";"0.4665";"-";"1.3341";"4.0203";"0.2835";"1.2214";"0.6044";"0.06";"0.003579";"0.2121";"2.8548";"0.0363";"0.1623";"1.0945";"0.5967";"-";"-";"-";"-";"-";"-";"-";"-";"172.4392";"5.6001"
